name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
OperatingCashFlow,"42,178,000,000","10,265,000,000","12,252,000,000","11,031,000,000","8,630,000,000","22,021,000,000","12,092,000,000","9,500,000,000","9,427,000,000","7,275,000,000","7,582,000,000","11,285,000,000","9,508,000,000","9,170,000,000","8,492,000,000","2,292,000,000","661,000,000","5,423,000,000","11,231,000,000","6,050,000,000","7,106,000,000","9,608,000,000","12,811,000,000","8,641,000,000","13,984,000,000","6,028,000,000","10,409,000,000","12,444,000,000","11,559,000,000","9,913,000,000","9,483,000,000","13,305,000,000","13,439,000,000","6,465,000,000","11,645,000,000","10,040,000,000","8,621,000,000","5,456,000,000","9,016,000,000","8,096,000,000","4,782,000,000","6,169,000,000","6,841,000,000","919,000,000","7,559,000,000","11,293,000,000","16,426,000,000","-408,000,000","16,607,000,000","6,110,000,000","8,915,000,000","8,594,000,000","10,842,000,000","6,790,000,000","9,755,000,000","7,652,000,000","7,499,000,000","14,796,000,000","315,000,000","6,909,000,000","8,093,000,000",,
	NetIncome,"15,842,000,000","964,000,000","5,879,000,000","2,998,000,000","6,001,000,000","5,590,000,000","5,839,000,000","6,024,000,000","5,899,000,000","3,807,000,000","4,087,000,000","1,545,000,000","3,538,000,000","1,541,000,000","1,375,000,000","1,175,000,000","484,000,000","939,000,000","-7,416,000,000","3,986,000,000","4,430,000,000","595,000,000","4,463,000,000","5,307,000,000","4,509,000,000","1,781,000,000","4,677,000,000","1,737,000,000","8,176,000,000","6,728,000,000","7,139,000,000","4,063,000,000","8,719,000,000","6,500,000,000","6,976,000,000","8,662,000,000","8,780,000,000","6,790,000,000","3,463,000,000","4,393,000,000","5,481,000,000","1,961,000,000","3,247,000,000","3,822,000,000","3,488,000,000","-2,810,000,000","8,448,000,000","11,556,000,000","9,083,000,000","8,467,000,000","6,916,000,000","8,667,000,000","7,281,000,000","5,283,000,000","5,942,000,000","7,324,000,000","6,893,000,000","4,368,000,000","9,032,000,000","5,236,000,000","6,674,000,000","4,570,998,473.2","5,371,000,000"
	DepreciationAndAmortization,"28,701,000,000","9,237,000,000","6,815,000,000","6,699,000,000","5,950,000,000","6,244,000,000","5,198,000,000","5,359,000,000","5,334,000,000","5,796,000,000","6,408,000,000","6,181,000,000","7,838,000,000","6,558,000,000","6,191,000,000","6,097,000,000","6,147,000,000","5,281,000,000","12,156,000,000","4,673,000,000","4,604,000,000","4,991,000,000","4,729,000,000","7,355,000,000","7,424,000,000","5,629,000,000","4,153,000,000","7,502,000,000","4,225,000,000","3,835,000,000","3,875,000,000","3,503,000,000","3,402,000,000","3,243,000,000","3,803,000,000","2,866,000,000","3,316,000,000","3,236,000,000","6,196,000,000","3,237,000,000","2,926,000,000","3,748,000,000","4,341,000,000","3,279,000,000","3,090,000,000","3,684,000,000","3,387,000,000","3,439,000,000","3,146,000,000","3,840,000,000","2,842,000,000","3,238,000,000","3,260,000,000","3,306,000,000","3,365,000,000","3,132,000,000","2,812,000,000","2,787,000,000","2,903,000,000","3,136,000,000","3,155,000,000","4,190,000,592.2",
	ChangeInWorkingCapital,"-4,779,000,000","-2,033,000,000","168,000,000","576,000,000","-3,785,000,000","8,320,000,000","-1,916,000,000","-1,512,000,000","-937,000,000","-966,000,000","-3,625,000,000","2,258,000,000","-1,828,000,000","430,000,000","742,000,000","-2,474,000,000","-3,909,000,000","-229,000,000","3,476,000,000","-1,588,000,000","-372,000,000","4,419,000,000","1,741,000,000","-2,335,000,000","875,000,000","-2,620,000,000","551,000,000","3,240,000,000","34,000,000","572,000,000","-2,284,000,000","3,766,000,000","1,741,000,000","-847,000,000","807,000,000","-1,730,000,000","-4,511,000,000","-754,000,000","-1,004,000,000","-482,000,000","-5,630,000,000","2,240,000,000","-1,371,000,000","-2,835,000,000","-365,000,000","14,612,000,000","2,120,000,000","-11,581,000,000","2,784,000,000","-3,328,000,000","-837,000,000","-1,642,000,000","-399,000,000","-971,000,000","693,000,000","-2,373,000,000","-1,401,000,000","3,941,000,000","-6,136,000,000","-1,332,000,000","-2,137,000,000","-831,999,246.3","-2,234,000,000"
	ChangeInInventory,"-2,635,000,000","-546,000,000","813,000,000","-61,000,000","-2,841,000,000","7,694,000,000","-1,693,000,000","-3,459,000,000","281,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"19,207,000,000","3,558,000,000","6,260,000,000","5,881,000,000","3,509,000,000","14,874,000,000","6,292,000,000","4,225,000,000","4,638,000,000","1,414,000,000","2,564,000,000","5,625,000,000","5,202,000,000","3,456,000,000","3,210,000,000","-3,504,000,000","-4,663,000,000","-1,876,000,000","4,819,000,000","-155,000,000","891,000,000","777,000,000","4,944,000,000","769,000,000","6,587,000,000","-8,480,000,000","1,621,000,000","3,457,000,000","3,697,000,000","-761,000,000","1,070,000,000","6,272,000,000","6,983,000,000","-3,449,000,000","4,384,000,000","5,060,000,000","4,475,000,000","-115,000,000","-593,000,000","1,583,000,000","-465,000,000","-1,337,000,000","622,000,000","-5,887,000,000","1,574,000,000","3,401,000,000","4,034,000,000","-7,760,000,000","9,178,000,000","-1,903,000,000","3,365,000,000","2,942,000,000","5,481,000,000","-275,000,000","4,347,000,000","1,022,000,000","3,680,000,000","9,349,000,000","-3,472,000,000","3,172,000,000","5,160,000,000",,
	OtherNonCashItems,"3,677,000,000","777,000,000","988,000,000","991,000,000","922,000,000","1,262,000,000","989,000,000","890,000,000","749,000,000","112,000,000","808,000,000","1,278,000,000","1,453,000,000","827,000,000","394,000,000","325,000,000","-20,000,000","402,000,000","2,728,000,000","2,403,000,000","397,000,000","1,375,000,000","949,000,000","867,000,000","907,000,000","1,774,000,000","1,142,000,000","1,085,000,000","6,507,000,000","877,000,000","157,000,000","619,000,000","91,000,000","-275,000,000","-291,000,000","212,000,000","-687,000,000","11,948,000,000","178,000,000","4,885,000,000","4,367,000,000","-2,130,000,000","-1,894,000,000","375,000,000","2,217,000,000","-6,434,000,000","2,333,000,000","435,000,000","547,000,000","-5,389,000,000","-2,246,000,000","3,234,000,000","735,000,000","-4,859,000,000","-2,814,000,000","3,995,000,000","-1,333,000,000","-543,000,000","-854,000,000","-216,000,000","663,000,000",,"778,000,000"
	OperatingCashFlow,"42,178,000,000","10,265,000,000","12,252,000,000","11,031,000,000","8,630,000,000","22,021,000,000","12,092,000,000","9,500,000,000","9,427,000,000","7,275,000,000","7,582,000,000","11,285,000,000","9,508,000,000","9,170,000,000","8,492,000,000","2,292,000,000","661,000,000","5,423,000,000","11,231,000,000","6,050,000,000","7,106,000,000","9,608,000,000","12,811,000,000","8,641,000,000","13,984,000,000","6,028,000,000","10,409,000,000","12,444,000,000","11,559,000,000","9,913,000,000","9,483,000,000","13,305,000,000","13,439,000,000","6,465,000,000","11,645,000,000","10,040,000,000","8,621,000,000","5,456,000,000","9,016,000,000","8,096,000,000","4,782,000,000","6,169,000,000","6,841,000,000","919,000,000","7,559,000,000","11,293,000,000","16,426,000,000","-408,000,000","16,607,000,000","6,110,000,000","8,915,000,000","8,594,000,000","10,842,000,000","6,790,000,000","9,755,000,000","7,652,000,000","7,499,000,000","14,796,000,000","315,000,000","6,909,000,000","8,093,000,000",,
InvestingCashFlow,"-15,779,000,000","-4,861,000,000","-2,130,000,000","-4,166,000,000","-4,622,000,000","-5,312,000,000","-4,082,000,000","29,000,000","-4,249,000,000","-665,000,000","-3,912,000,000","872,000,000","-4,324,000,000","-3,429,000,000","-5,168,000,000","-5,450,000,000","-16,916,000,000","-6,186,000,000","-5,718,000,000","-6,063,000,000","-4,440,000,000","-6,680,000,000","-4,327,000,000","-936,000,000","-7,714,000,000","-14,451,000,000","-8,881,000,000","-9,172,000,000","-7,642,000,000","-8,940,000,000","-8,339,000,000","-5,857,000,000","-5,317,000,000","-8,917,000,000","-5,585,000,000","-4,294,000,000","-1,647,000,000","-997,000,000","-10,064,000,000","-5,467,000,000","-5,444,000,000","-743,000,000","-11,662,000,000","-7,736,000,000","-6,093,000,000","-6,373,000,000","-14,466,000,000","31,000,000","-8,107,000,000","-5,706,000,000","-5,926,000,000","1,458,000,000","-4,396,000,000","-6,234,000,000","-4,994,000,000","-6,291,000,000","-3,342,000,000","-10,002,000,000","5,995,000,000","-2,856,000,000","-1,898,000,000","5,836,998,481.9","-3,382,000,000"
	CapitalExpenditure,"-22,971,000,000","-6,707,000,000","-5,992,000,000","-5,150,000,000","-5,121,000,000","-7,147,000,000","-5,800,000,000","-5,275,000,000","-4,789,000,000","-5,861,000,000","-5,018,000,000","-5,660,000,000","-4,306,000,000","-5,714,000,000","-5,282,000,000","-5,796,000,000","-5,324,000,000","-7,299,000,000","-6,412,000,000","-6,205,000,000","-6,215,000,000","-8,831,000,000","-7,867,000,000","-7,872,000,000","-7,397,000,000","-14,508,000,000","-8,788,000,000","-8,987,000,000","-7,862,000,000","-10,674,000,000","-8,413,000,000","-7,033,000,000","-6,456,000,000","-9,914,000,000","-7,261,000,000","-4,980,000,000","-4,146,000,000","-5,571,000,000","-9,609,000,000","-6,513,000,000","-5,247,000,000","-7,506,000,000","-6,219,000,000","-6,806,000,000","-5,985,000,000","-7,892,000,000","-12,392,000,000","-7,352,000,000","-7,429,000,000","-8,013,000,000","-5,550,000,000","-5,652,000,000","-5,361,000,000","-7,065,000,000","-5,408,000,000","-6,630,000,000","-3,819,000,000","-5,447,000,000","-3,787,000,000","-3,737,000,000","-2,933,000,000","-4,654,999,974.2","-3,192,000,000"
