name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalAssets,"404,336,000,000","395,774,000,000","408,891,000,000","411,825,000,000","399,194,000,000","407,989,000,000","407,234,000,000","410,719,000,000","407,097,000,000","413,082,000,000","410,785,000,000","410,951,000,000","411,275,000,000","419,648,000,000","417,441,000,000","416,304,000,000","340,157,000,000","343,701,000,000","356,328,000,000","341,832,000,000","353,294,000,000","359,411,000,000","370,716,000,000","366,593,000,000","357,512,000,000","354,613,000,000","345,508,000,000","356,994,000,000","360,325,000,000","360,350,000,000","345,832,000,000","359,300,000,000","347,482,000,000","350,824,000,000","343,327,000,000","322,560,000,000","310,654,000,000","297,257,000,000","297,202,000,000","292,181,000,000","297,254,000,000","291,737,000,000","281,320,000,000","282,401,000,000","302,081,000,000","342,679,000,000","295,420,000,000","269,470,000,000","251,579,000,000","241,540,000,000","241,131,000,000","235,276,000,000","233,444,000,000","230,550,000,000","220,033,000,000","219,516,000,000","241,230,000,000","202,497,000,000","195,498,000,000","187,445,999,829.1","181,189,000,000","169,915,000,000"
	CurrentAssets,"92,689,000,000","86,186,000,000","93,096,000,000","95,990,000,000","97,482,000,000","107,246,000,000","103,512,000,000","98,046,000,000","95,404,000,000","91,924,000,000","88,052,000,000","85,385,000,000","86,569,000,000","87,098,000,000","85,395,000,000","81,250,000,000","93,358,000,000","100,252,000,000","100,395,000,000","91,531,000,000","100,058,000,000","105,401,000,000","112,005,000,000","104,423,000,000","103,343,000,000","106,659,000,000","103,876,000,000","115,743,000,000","114,734,000,000","122,169,000,000","116,777,000,000","127,985,000,000","128,035,000,000","128,913,000,000","128,343,000,000","112,894,000,000","102,973,000,000","102,595,000,000","100,036,000,000","96,457,000,000","106,661,000,000","108,046,000,000","114,481,000,000","116,570,000,000","131,363,000,000","175,855,000,000","134,108,000,000","115,397,000,000","103,634,000,000","102,263,000,000","94,142,000,000","91,885,000,000","98,526,000,000","98,761,000,000","95,168,000,000","97,892,000,000","121,300,000,000","81,506,000,000","71,593,000,000","62,049,000,682.5","58,712,000,000","50,294,000,000"
		CashCashEquivalentsAndShortTermInvestments,"18,055,000,000","15,417,000,000","18,470,000,000","21,470,000,000","26,741,000,000","19,112,000,000","19,468,000,000","21,927,000,000","20,312,000,000","20,699,000,000","23,992,000,000","19,595,000,000","19,130,000,000","19,984,000,000","15,222,000,000","11,019,000,000","31,752,000,000","31,846,000,000","26,981,000,000","19,867,000,000","21,607,000,000","19,027,000,000","15,419,000,000","11,924,000,000","9,696,000,000","14,278,000,000","12,540,000,000","17,614,000,000","18,550,000,000","18,839,000,000","17,282,000,000","15,024,000,000","19,256,000,000","19,465,000,000","16,608,000,000","13,444,000,000","11,282,000,000","12,008,000,000","8,448,000,000","9,719,000,000","14,275,000,000","10,596,000,000","15,961,000,000","15,188,000,000","7,821,000,000","8,990,000,000","14,417,000,000","9,656,000,000","14,092,000,000","15,117,000,000","11,184,000,000","9,002,000,000","11,240,000,000","11,774,000,000","12,767,000,000","11,730,000,000","15,998,000,000","11,520,000,000","8,888,000,000","9,201,000,953.2","3,948,000,000","3,244,000,000"
			CashAndCashEquivalents,"18,055,000,000","15,417,000,000","18,470,000,000","21,470,000,000","26,741,000,000","19,112,000,000","19,468,000,000","21,927,000,000","20,312,000,000","20,699,000,000","23,992,000,000","19,595,000,000","19,130,000,000","19,984,000,000","15,222,000,000","11,019,000,000","31,752,000,000","31,846,000,000","26,981,000,000","19,867,000,000","21,607,000,000","19,027,000,000","15,419,000,000","11,924,000,000","9,696,000,000","14,278,000,000","12,540,000,000","17,614,000,000","18,550,000,000","18,839,000,000","17,282,000,000","15,024,000,000","19,256,000,000","19,465,000,000","16,608,000,000","13,444,000,000","11,282,000,000","12,008,000,000","8,448,000,000","9,719,000,000","14,275,000,000","10,596,000,000","15,961,000,000","15,188,000,000","7,821,000,000","8,990,000,000","14,417,000,000","9,656,000,000","14,092,000,000","15,117,000,000","11,184,000,000","9,002,000,000","11,240,000,000","11,774,000,000","12,767,000,000","11,730,000,000","15,998,000,000","11,520,000,000","8,888,000,000","9,201,000,953.2","3,948,000,000","3,244,000,000"
			CashCashEquivalentsAndShortTermInvestments,"18,055,000,000","15,417,000,000","18,470,000,000","21,470,000,000","26,741,000,000","19,112,000,000","19,468,000,000","21,927,000,000","20,312,000,000","20,699,000,000","23,992,000,000","19,595,000,000","19,130,000,000","19,984,000,000","15,222,000,000","11,019,000,000","31,752,000,000","31,846,000,000","26,981,000,000","19,867,000,000","21,607,000,000","19,027,000,000","15,419,000,000","11,924,000,000","9,696,000,000","14,278,000,000","12,540,000,000","17,614,000,000","18,550,000,000","18,839,000,000","17,282,000,000","15,024,000,000","19,256,000,000","19,465,000,000","16,608,000,000","13,444,000,000","11,282,000,000","12,008,000,000","8,448,000,000","9,719,000,000","14,275,000,000","10,596,000,000","15,961,000,000","15,188,000,000","7,821,000,000","8,990,000,000","14,417,000,000","9,656,000,000","14,092,000,000","15,117,000,000","11,184,000,000","9,002,000,000","11,240,000,000","11,774,000,000","12,767,000,000","11,730,000,000","15,998,000,000","11,520,000,000","8,888,000,000","9,201,000,953.2","3,948,000,000","3,244,000,000"
		AccountsReceivable,"30,216,000,000","40,694,000,000","43,139,000,000","44,521,000,000","27,541,000,000","51,097,000,000","48,654,000,000","45,071,000,000","30,721,000,000","47,206,000,000",,,,,,,,"49,130,000,000",,,,,,,,,"62,312,000,000",,"65,403,000,000","70,972,000,000","71,200,000,000","78,798,000,000","78,529,000,000","75,493,000,000","78,103,000,000","70,102,000,000","62,769,000,000","62,615,000,000","62,874,000,000","59,328,000,000","66,966,000,000","72,529,000,000","77,116,000,000","82,040,000,000","90,100,000,000","127,241,000,000","87,507,000,000","42,308,000,000","61,636,000,000","60,649,000,000","58,998,000,000","30,966,000,000","63,895,000,000",,,"66,386,000,000","83,812,000,000","51,420,000,000","45,188,000,000","23,627,000,466.5","37,898,000,000",
		Inventory,"24,071,000,000","23,240,000,000","24,465,000,000","23,937,000,000","21,117,000,000","29,313,000,000","27,975,000,000","25,014,000,000","25,223,000,000","24,019,000,000","22,318,000,000","21,589,000,000","21,775,000,000","20,562,000,000","20,626,000,000","17,396,000,000","15,822,000,000","19,276,000,000","22,485,000,000","19,968,000,000","19,981,000,000","27,318,000,000","31,361,000,000","28,829,000,000","30,009,000,000","29,820,000,000","29,024,000,000","31,531,000,000","30,781,000,000","32,358,000,000","28,295,000,000","34,163,000,000","30,250,000,000","33,955,000,000","33,632,000,000","29,348,000,000","28,922,000,000","27,972,000,000","28,714,000,000","27,410,000,000","25,420,000,000","24,921,000,000","21,404,000,000","19,342,000,000","33,442,000,000","39,624,000,000","32,184,000,000","31,503,000,000","27,906,000,000","26,497,000,000","23,960,000,000","23,215,000,000","23,391,000,000","24,660,000,000","21,600,000,000","19,776,000,000","21,490,000,000","18,566,000,000","17,517,000,000","15,374,999,528.6","16,866,000,000","14,545,000,000"
		OtherCurrentAssets,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,276,000,000",,,,"20,011,000,000",,,,,,,,,,"32,505,000,000"
		CurrentAssets,"92,689,000,000","86,186,000,000","93,096,000,000","95,990,000,000","97,482,000,000","107,246,000,000","103,512,000,000","98,046,000,000","95,404,000,000","91,924,000,000","88,052,000,000","85,385,000,000","86,569,000,000","87,098,000,000","85,395,000,000","81,250,000,000","93,358,000,000","100,252,000,000","100,395,000,000","91,531,000,000","100,058,000,000","105,401,000,000","112,005,000,000","104,423,000,000","103,343,000,000","106,659,000,000","103,876,000,000","115,743,000,000","114,734,000,000","122,169,000,000","116,777,000,000","127,985,000,000","128,035,000,000","128,913,000,000","128,343,000,000","112,894,000,000","102,973,000,000","102,595,000,000","100,036,000,000","96,457,000,000","106,661,000,000","108,046,000,000","114,481,000,000","116,570,000,000","131,363,000,000","175,855,000,000","134,108,000,000","115,397,000,000","103,634,000,000","102,263,000,000","94,142,000,000","91,885,000,000","98,526,000,000","98,761,000,000","95,168,000,000","97,892,000,000","121,300,000,000","81,506,000,000","71,593,000,000","62,049,000,682.5","58,712,000,000","50,294,000,000"
	TotalNonCurrentAssets,"311,647,000,000","309,588,000,000","315,794,000,000","315,835,000,000","301,712,000,000","300,743,000,000","303,722,000,000","312,673,000,000","311,693,000,000","321,158,000,000","322,733,000,000","325,566,000,000","324,706,000,000","332,550,000,000","332,046,000,000","335,054,000,000","246,799,000,000","243,449,000,000","255,933,000,000","250,301,000,000","253,236,000,000","254,010,000,000","258,711,000,000","262,170,000,000","254,169,000,000","247,954,000,000","241,632,000,000","241,251,000,000","245,591,000,000","238,181,000,000","229,055,000,000","231,315,000,000","219,447,000,000","221,911,000,000","214,984,000,000","209,666,000,000","207,681,000,000","194,662,000,000","197,166,000,000","195,724,000,000","190,593,000,000","183,691,000,000","166,839,000,000","165,831,000,000","170,718,000,000","166,824,000,000","161,312,000,000","154,073,000,000","147,945,000,000","139,277,000,000","146,989,000,000","143,391,000,000","134,918,000,000","131,789,000,000","124,865,000,000","121,624,000,000","119,930,000,000","120,991,000,000","123,905,000,000","125,396,999,146.6","122,477,000,000","119,621,000,000"
