Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2019-09-30,89541.0,70546.0,18995.0,219.0,2429.0,,80009.0,9532.0,-1161.0,8372.0,2348.0,6024.0,,6024.0,,5879.0,16347.0,9532.0,4008.75,4033.8,1.46,1.46
2019-06-30,91838.0,75864.0,15974.0,225.0,2881.0,,85669.0,6169.0,-1252.0,4917.0,1755.0,3162.0,,3162.0,,2998.0,12868.0,6169.0,4050.4,4076.85,0.74,0.74
2019-03-31,85662.0,66583.0,19079.0,212.0,2352.0,,75097.0,10565.0,-1159.0,9406.0,3248.0,6158.0,,6158.0,,6001.0,16515.0,10565.0,4076.1,4105.35,1.48,1.46
2018-12-31,104626.0,86028.0,18598.0,314.0,3162.0,,95748.0,8878.0,-971.0,7907.0,2261.0,5646.0,,5646.0,,5590.0,15122.0,8878.0,4141.4,4174.35,1.38,1.36
2018-09-30,101548.0,82648.0,18900.0,227.0,2829.0,,90902.0,10646.0,-909.0,9737.0,3696.0,6041.0,,6041.0,,5839.0,15844.0,10646.0,4145.15,4176.55,1.4,1.4
2018-06-30,99268.0,80352.0,18916.0,237.0,2781.0,,88729.0,10539.0,-929.0,9610.0,3422.0,6188.0,,6188.0,,6024.0,15898.0,10539.0,4154.7,4188.0,1.44,1.44
2018-03-31,91114.0,73681.0,17433.0,208.0,2588.0,,81811.0,9303.0,-936.0,8367.0,2336.0,6031.0,,6031.0,,5899.0,14637.0,9303.0,4152.3,4152.3,1.42,1.4
2017-12-31,88124.0,71579.0,16545.0,260.0,2953.0,,80588.0,7536.0,-984.0,6552.0,2615.0,3937.0,,3937.0,,3807.0,13332.0,7536.0,4111.7,4149.5,0.92,0.9
2017-09-30,77733.0,61672.0,16061.0,230.0,2750.0,,71060.0,6673.0,-1011.0,5662.0,1450.0,4212.0,,4212.0,,4087.0,13081.0,6673.0,4124.8,4162.45,1.0,0.98
2017-06-30,72702.0,60426.0,12276.0,220.0,2394.0,,69221.0,3481.0,-935.0,2546.0,904.0,1642.0,,1642.0,,1545.0,9662.0,3481.0,4106.45,4146.15,0.38,0.38
2017-03-31,73311.0,58367.0,14944.0,212.0,2412.0,,68829.0,4482.0,-1112.0,3370.0,-274.0,3644.0,,3644.0,,3538.0,12320.0,4482.0,4113.9529999999995,4113.9529999999995,0.86,0.86
2016-12-31,67092.0,52799.0,14293.0,280.0,2912.0,,62549.0,4543.0,-1115.0,3428.0,1820.0,1608.0,,1608.0,,1541.0,11101.0,4543.0,3916.85,3945.85,0.38,0.38
2016-09-30,62938.0,50836.0,12102.0,248.0,2856.0,,60131.0,2807.0,-948.0,1859.0,425.0,1434.0,,1434.0,,1375.0,8998.0,2807.0,4027.15,4053.85,0.34,0.34
