,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2019-09-30,89541.00000,70546.00000,18995.00000,219.00000,2429.00000,,80009.00000,9532.00000,-1161.00000,8372.00000,2348.00000,6024.00000,,6024.00000,,5879.00000,16347.00000,9532.00000,4008.75000,4033.80000,1.46000,1.46000
2019-06-30,91838.00000,75864.00000,15974.00000,225.00000,2881.00000,,85669.00000,6169.00000,-1252.00000,4917.00000,1755.00000,3162.00000,,3162.00000,,2998.00000,12868.00000,6169.00000,4050.40000,4076.85000,0.74000,0.74000
2019-03-31,85662.00000,66583.00000,19079.00000,212.00000,2352.00000,,75097.00000,10565.00000,-1159.00000,9406.00000,3248.00000,6158.00000,,6158.00000,,6001.00000,16515.00000,10565.00000,4076.10000,4105.35000,1.48000,1.46000
2018-12-31,104626.00000,86028.00000,18598.00000,314.00000,3162.00000,,95748.00000,8878.00000,-971.00000,7907.00000,2261.00000,5646.00000,,5646.00000,,5590.00000,15122.00000,8878.00000,4141.40000,4174.35000,1.38000,1.36000
2018-09-30,101548.00000,82648.00000,18900.00000,227.00000,2829.00000,,90902.00000,10646.00000,-909.00000,9737.00000,3696.00000,6041.00000,,6041.00000,,5839.00000,15844.00000,10646.00000,4145.15000,4176.55000,1.40000,1.40000
2018-06-30,99268.00000,80352.00000,18916.00000,237.00000,2781.00000,,88729.00000,10539.00000,-929.00000,9610.00000,3422.00000,6188.00000,,6188.00000,,6024.00000,15898.00000,10539.00000,4154.70000,4188.00000,1.44000,1.44000
2018-03-31,91114.00000,73681.00000,17433.00000,208.00000,2588.00000,,81811.00000,9303.00000,-936.00000,8367.00000,2336.00000,6031.00000,,6031.00000,,5899.00000,14637.00000,9303.00000,4152.30000,4152.30000,1.42000,1.40000
2017-12-31,88124.00000,71579.00000,16545.00000,260.00000,2953.00000,,80588.00000,7536.00000,-984.00000,6552.00000,2615.00000,3937.00000,,3937.00000,,3807.00000,13332.00000,7536.00000,4111.70000,4149.50000,0.92000,0.90000
2017-09-30,77733.00000,61672.00000,16061.00000,230.00000,2750.00000,,71060.00000,6673.00000,-1011.00000,5662.00000,1450.00000,4212.00000,,4212.00000,,4087.00000,13081.00000,6673.00000,4124.80000,4162.45000,1.00000,0.98000
2017-06-30,72702.00000,60426.00000,12276.00000,220.00000,2394.00000,,69221.00000,3481.00000,-935.00000,2546.00000,904.00000,1642.00000,,1642.00000,,1545.00000,9662.00000,3481.00000,4106.45000,4146.15000,0.38000,0.38000
2017-03-31,73311.00000,58367.00000,14944.00000,212.00000,2412.00000,,68829.00000,4482.00000,-1112.00000,3370.00000,-274.00000,3644.00000,,3644.00000,,3538.00000,12320.00000,4482.00000,4113.95300,4113.95300,0.86000,0.86000
2016-12-31,67092.00000,52799.00000,14293.00000,280.00000,2912.00000,,62549.00000,4543.00000,-1115.00000,3428.00000,1820.00000,1608.00000,,1608.00000,,1541.00000,11101.00000,4543.00000,3916.85000,3945.85000,0.38000,0.38000
2016-09-30,62938.00000,50836.00000,12102.00000,248.00000,2856.00000,,60131.00000,2807.00000,-948.00000,1859.00000,425.00000,1434.00000,,1434.00000,,1375.00000,8998.00000,2807.00000,4027.15000,4053.85000,0.34000,0.34000
2016-06-30,60271.00000,48973.00000,11298.00000,243.00000,3227.00000,,58540.00000,1731.00000,-770.00000,961.00000,-319.00000,1280.00000,,1280.00000,,1175.00000,7828.00000,1731.00000,3916.66700,3916.66700,0.30000,0.30000
2016-03-31,49732.00000,40508.00000,9224.00000,243.00000,3106.00000,,50004.00000,-272.00000,-370.00000,-642.00000,-1097.00000,455.00000,,455.00000,,484.00000,5875.00000,-272.00000,3457.14300,3457.14300,0.14000,0.14000
2015-12-31,60176.00000,51230.00000,8946.00000,297.00000,3090.00000,,59898.00000,278.00000,-519.00000,-241.00000,-1183.00000,942.00000,,942.00000,,939.00000,5559.00000,278.00000,3160.15000,3196.90000,0.30000,0.30000
2015-09-30,69184.00000,62437.00000,6747.00000,291.00000,2896.00000,,77780.00000,-8596.00000,-527.00000,-9123.00000,-1730.00000,-7393.00000,,-7393.00000,,-7416.00000,3560.00000,-8596.00000,3163.85000,3198.45000,-2.34000,-2.32000
2015-06-30,73950.00000,59911.00000,14039.00000,252.00000,3076.00000,,67912.00000,6038.00000,-466.00000,5572.00000,1458.00000,4114.00000,,4114.00000,,3986.00000,10711.00000,6038.00000,3152.30000,3191.95000,1.26000,1.24000
